?prefix	?numberOfClasses
"PR"	2
"OBI"	1
"HAO"	2603
"CARO"	1
"FBbt"	1
"BFO"	1
"AISM"	740
"BSPO"	38
"CL"	4
"UBERON"	38
"PATO"	34
""	1
